id,release_date,popularity,uri
['02pi98kE0nra0yBqCStzbC'],['2011-09-09'],[78],['spotify:album:02pi98kE0nra0yBqCStzbC']
['0MeOIA0wwSa6nW79jy8QcZ'],['2015-11-13'],[69],['spotify:album:0MeOIA0wwSa6nW79jy8QcZ']
['0W5GGnapMz0VwemQvJDqa7'],['2011-09-09'],[70],['spotify:album:0W5GGnapMz0VwemQvJDqa7']
['0Yi8StK0Si3u2bLr3Qsm2Q'],['2013'],[48],['spotify:album:0Yi8StK0Si3u2bLr3Qsm2Q']
['1slAnKc9Ykyght8EI9Y0dM'],['2011-09-09'],[35],['spotify:album:1slAnKc9Ykyght8EI9Y0dM']
['1xn54DMo2qIqBuMqHtUsFd'],['2014-06-21'],[84],['spotify:album:1xn54DMo2qIqBuMqHtUsFd']
['2PNtGh8cixtb0oXjbGkUnZ'],['2011-09-09'],[19],['spotify:album:2PNtGh8cixtb0oXjbGkUnZ']
['2hyDesSAYNefikDJXlqhPE'],['2014-06-23'],[63],['spotify:album:2hyDesSAYNefikDJXlqhPE']
['3QbPtoOWiJqZurXXxJwaOD'],['2011-12-09'],[53],['spotify:album:3QbPtoOWiJqZurXXxJwaOD']
['3T4tUhGYeRNVUGevb0wThu'],['2017-03-03'],[91],['spotify:album:3T4tUhGYeRNVUGevb0wThu']
['3hA2oZbZwHU8tSPBFIZhFr'],['2013'],[55],['spotify:album:3hA2oZbZwHU8tSPBFIZhFr']
['3w0VffyaakTvUtTwjPCo7Y'],['2011-09-09'],[57],['spotify:album:3w0VffyaakTvUtTwjPCo7Y']
['4JUtnlZKdLr01xEIymhm0G'],['2011-12-09'],[46],['spotify:album:4JUtnlZKdLr01xEIymhm0G']
['6DpIyaMgt5p9HlGd1c0LDM'],['2011-09-09'],[50],['spotify:album:6DpIyaMgt5p9HlGd1c0LDM']
['6NoBzYmh5gUusGPCfg0pct'],['2013'],[68],['spotify:album:6NoBzYmh5gUusGPCfg0pct']
