album_type,id,name,release_date,total_tracks
album,1mRtVjwGgBvLiaJhPGHZ8M,A Place We Knew,2019-03-22,12
album,6GDXnx6AUDGH0tpxXQX0Kn,The World Is Yours 2,2019-03-22,16
single,65siSh34OjZPMx0obk0YRj,Patience,2019-03-22,1
single,1zt4HVA2H5uh8SldrOfCMh,Tempo (feat. Missy Elliott),2019-03-20,3
single,6jxIuLdvvss4woTNeh0nDH,Confessions of a Dangerous Mind,2019-03-22,1
album,7jKt0T2nzo707B2HdpMOZJ,Bad Habits,2019-03-22,16
single,4ykGcrqJO8PcTePuNOFMxa,Te Robaré,2019-03-22,1
single,3CKzA951WnfvvOGresjno6,I Don't Belong In This Club,2019-03-20,2
album,3pHFjWCK7d5YLtEuFwfR5N,54+1,2019-03-22,13
single,26YNa0Q54Ls1DtQbSgrd7v,Your Peace,2019-03-22,1
album,7eed9MBclFPjjjvotfR2e9,Nothing Happens,2019-03-22,11
single,6x76SSJsHpzc6Hf3mZOUnW,Rival,2019-03-21,1
single,4xuCAF5P2diMaCbRUxNlzz,Walk (Remix),2019-03-18,1
single,1DsjQrklCquOTdQEZxxSU4,Sex Talk,2019-03-22,1
single,2UC5oSrZ3ASHfCBUAmp6jy,SouthSide,2019-03-22,1
single,6jvxwl7xgHR1YMoE8sAFmO,Style,2019-03-22,2
single,4VJClrN4XctgW0auQg2BG6,I Like Girls (feat. Lil Skies),2019-03-21,1
single,15yV3KsI8e6Ubkv8vLSBMP,Watch Me (Remix),2019-03-22,1
single,5lhQfarxkGkFATjitVSHC6,Cristina,2019-03-22,1
single,1bcvtuHyO79DNAOOhHEkEm,On My Way,2019-03-21,1
single,4wT85WYKlyU9XZddZAffSq,Unemployed,2019-03-19,1
single,6NmLz1A9PxdSaibtU6LQbl,Coke & Henny Pt. 1,2019-03-22,1
single,3orQldTQmLgJdqVaKZAln4,Green Light Go,2019-03-22,1
album,2xQ1WHVV0MdVSRkpND5P51,My Finest Work Yet,2019-03-22,10
single,2agq7B3t5ZxbJ5TOvbQmBs,2all,2019-03-19,1
album,41yK0Yl2fDWKMSn3l3Ii3u,The Dirt Soundtrack,2019-03-22,18
single,53OqcxUBn8VHpV2qT0JSne,El Camino,2019-03-22,2
album,7pmpIBfTUQFC5jTd6VgV22,No Words Left,2019-03-22,11
single,0NRgsBZ8MG3fKuhmJK7clA,Close,2019-03-22,1
album,2AHG3vkC3H7zqHbYdgCCcy,On The Line,2019-03-22,11
album,3NsKNBrbNAW6dDPW7WP4FS,On My Momma 2,2019-03-22,13
single,1V2sg9XB2TP29Ys4ER3fLn,Fingías,2019-03-22,1
single,7HFGBwkGKasjWaAvp1oLdY,Háblame / Corazón De Roca,2019-03-18,2
single,0FblLlqUsJImmPkaKqEkz5,Nowhere To Run,2019-03-22,1
single,7JV6wwqjTAEvrkluzOpAa9,East Oakland Legend,2019-03-22,1
single,2lHFffNs8rHFdlmjz9tIRj,Numb Numb Juice,2019-03-14,1
single,53xHggSRIfHec0bA1oyReb,No New Friends,2019-03-14,6
single,60GMfKsppuyvSG36HurCMz,Tic Toc (with Tory Lanez),2019-03-15,1
album,1kgurOfUl0Qu20MDK46xur,Lux Prima,2019-03-15,9
single,2yN1kxrx1Z1CHO5VMdO2Yk,R.I.P. (feat. Rita Ora & Anitta),2019-03-15,1
single,4oLEB2ABMfxqC6mchADZp7,King James,2019-03-15,1
single,1bd0v6EhJjlU1UXuHQrxWQ,Contra La Pared,2019-03-14,2
single,0loOZXQoeYJ1IF7sjMCv56,Missed Connection,2019-03-14,1
single,4Edt3CfGlR2xcW5W2mpGxY,BITCH (takes one to know one),2019-03-15,1
single,2ddicfthS1XeBDkhDqnWI3,Who's Got Your Love,2019-03-15,1
album,51EYIcwEHs2WpaiZrrjWtT,portraits,2019-03-15,12
single,4cAgTupcR7JtqizZn6KyLV,The Weight Of The Badge,2019-03-15,1
single,6e9I7W5LrZ512paeUY7hS4,"Baby Mine (From ""Dumbo"")",2019-03-11,1
single,4uEqlHBpU35jPpYHTvcELq,Bacc At It Again,2019-03-15,1
album,3Ywv495LcFurJDVIdnpNmG,TOGETHER,2019-03-15,9
